Visit ID,Dither Index,Aperture,Exp Time,Target,Orient Used,RA Center Rot,Dec Center Rot,s_region
00000004001,1,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858725,-1.009295,Polygon ICRS 350.858341719349 -1.008516121313619 350.8592577223667 -1.008645426937278 350.85911714505255 -1.0096785102769559 350.85819352946066 -1.0095348435005462 ,
00000004001,2,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859327,-1.009113,Polygon ICRS 350.8589435486839 -1.0086990899985153 350.859859551777 -1.008828395452781 350.8597189746462 -1.0098614788184364 350.85879535897567 -1.0097178122128978 ,
00000004001,3,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858756,-1.009275,Polygon ICRS 350.8583720851599 -1.00853623465332 350.85928808818437 -1.0086655402684528 350.8591475108792 -1.009698623609438 350.8582238952802 -1.0095549568416686 ,
00000004001,4,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859357,-1.009092,Polygon ICRS 350.85897374502963 -1.0087195205548483 350.85988974812955 -1.0088488260005875 350.85974917100754 -1.0098819093675504 350.85882555532993 -1.0097382427705952 ,
00000004001,1,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858725,-1.009295,Polygon ICRS 350.858341719349 -1.008516121313619 350.8592577223667 -1.008645426937278 350.85911714505255 -1.0096785102769559 350.85819352946066 -1.0095348435005462 ,
00000004001,2,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859327,-1.009113,Polygon ICRS 350.8589435486839 -1.0086990899985153 350.859859551777 -1.008828395452781 350.8597189746462 -1.0098614788184364 350.85879535897567 -1.0097178122128978 ,
00000004001,3,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858756,-1.009275,Polygon ICRS 350.8583720851599 -1.00853623465332 350.85928808818437 -1.0086655402684528 350.8591475108792 -1.009698623609438 350.8582238952802 -1.0095549568416686 ,
00000004001,4,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859357,-1.009092,Polygon ICRS 350.85897374502963 -1.0087195205548483 350.85988974812955 -1.0088488260005875 350.85974917100754 -1.0098819093675504 350.85882555532993 -1.0097382427705952 ,
00000004001,1,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858725,-1.009295,Polygon ICRS 350.858341719349 -1.008516121313619 350.8592577223667 -1.008645426937278 350.85911714505255 -1.0096785102769559 350.85819352946066 -1.0095348435005462 ,
00000004001,2,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859327,-1.009113,Polygon ICRS 350.8589435486839 -1.0086990899985153 350.859859551777 -1.008828395452781 350.8597189746462 -1.0098614788184364 350.85879535897567 -1.0097178122128978 ,
00000004001,3,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.858756,-1.009275,Polygon ICRS 350.8583720851599 -1.00853623465332 350.85928808818437 -1.0086655402684528 350.8591475108792 -1.009698623609438 350.8582238952802 -1.0095549568416686 ,
00000004001,4,MIRIFU_CHANNEL1A,9555.968,J2323-0100,0.0,350.859357,-1.009092,Polygon ICRS 350.85897374502963 -1.0087195205548483 350.85988974812955 -1.0088488260005875 350.85974917100754 -1.0098819093675504 350.85882555532993 -1.0097382427705952 ,
