# NGC 3603, centered at RA=168.78120, DEC=-61.261175
# ID           RA             DEC
       1   168.7890144    -61.267184
       2   168.7839215    -61.261404
       3   168.7311147    -61.253133
       4   168.7820037    -61.262144
       5   168.7769479    -61.273130
       6   168.7823579    -61.262902
       7   168.7836120    -61.259496
       8   168.8360603    -61.259808
       9   168.7938896    -61.272929
      10   168.7812666    -61.262842
      11   168.7785311    -61.262367
      12   168.7888832    -61.267236
      13   168.7985203    -61.266901
      14   168.7855133    -61.260621
      15   168.7532128    -61.245247
      16   168.7972162    -61.265420
      17   168.7754533    -61.257475
      18   168.7777316    -61.264640
      19   168.7946197    -61.268726
      20   168.8287651    -61.257947
      21   168.7757635    -61.257351
      22   168.7934516    -61.270191
      23   168.7287340    -61.254514
      24   168.7780403    -61.259914
      25   168.7722350    -61.255353
      26   168.7873448    -61.261581
      27   168.7819772    -61.263179
      28   168.7567441    -61.278628
      29   168.7791951    -61.255910
      30   168.7513037    -61.258438
      31   168.7752304    -61.259431
      32   168.7761267    -61.258640
      33   168.8023557    -61.269458
      34   168.7880319    -61.259187
      35   168.7780325    -61.261698
      36   168.8078250    -61.266184
      37   168.7302209    -61.255729
      38   168.7826339    -61.285323
      39   168.7979058    -61.267669
      40   168.7827314    -61.285373
      41   168.7800017    -61.261531
      42   168.7720530    -61.255007
      43   168.7865273    -61.262612
      44   168.7929808    -61.265068
      45   168.7650628    -61.266875
      46   168.7711096    -61.268378
      47   168.8348925    -61.261834
      48   168.7778533    -61.258998
      49   168.7971725    -61.265479
      50   168.7556389    -61.250354
      51   168.7830701    -61.261026
      52   168.7760907    -61.255944
      53   168.7857137    -61.259732
      54   168.7665933    -61.259900
      55   168.7861885    -61.262336
      56   168.7894111    -61.236362
      57   168.7573261    -61.273991
      58   168.7498797    -61.255855
      59   168.7894727    -61.236342
      60   168.7767887    -61.260098
      61   168.8039195    -61.249403
      62   168.7994481    -61.273617
      63   168.7775650    -61.256589
      64   168.7961557    -61.260212
      65   168.7972250    -61.279130
      66   168.7775926    -61.288117
      67   168.7849357    -61.256529
      68   168.7862099    -61.260798
      69   168.7686100    -61.286013
      70   168.7842196    -61.256435
      71   168.7837446    -61.261201
      72   168.7862076    -61.250595
      73   168.7978767    -61.267715
      74   168.7822724    -61.261348
      75   168.7663431    -61.256423
      76   168.7927356    -61.260587
      77   168.8076280    -61.267699
      78   168.7861921    -61.260848
      79   168.8307026    -61.259219
      80   168.7641903    -61.250293
      81   168.7789795    -61.267818
      82   168.7666458    -61.263413
      83   168.7944090    -61.272230
      84   168.7719951    -61.255033
      85   168.7845598    -61.260353
      86   168.7178393    -61.261860
      87   168.7783336    -61.261361
      88   168.7539353    -61.257540
      89   168.7793289    -61.263125
      90   168.7572163    -61.259242
      91   168.7784424    -61.259458
      92   168.7911795    -61.275521
      93   168.7779922    -61.257241
      94   168.7906475    -61.268699
      95   168.7787727    -61.258003
      96   168.7844101    -61.258856
      97   168.7863319    -61.266572
      98   168.7909544    -61.262854
      99   168.7713692    -61.272205
     100   168.7689614    -61.263613
     101   168.8174558    -61.266020
     102   168.7817236    -61.265137
     103   168.7641627    -61.250330
     104   168.7859916    -61.283850
     105   168.8037787    -61.268559
     106   168.7769410    -61.263292
     107   168.7663582    -61.256383
     108   168.7861332    -61.266594
     109   168.7850496    -61.256705
     110   168.7707034    -61.249703
     111   168.7893977    -61.262923
     112   168.7952124    -61.254914
     113   168.7980896    -61.244587
     114   168.7494474    -61.262121
     115   168.7850891    -61.276411
     116   168.8268763    -61.259027
     117   168.7885201    -61.282144
     118   168.7600017    -61.261242
     119   168.7736080    -61.257476
     120   168.7782909    -61.259402
     121   168.7975782    -61.265988
     122   168.7828194    -61.265443
     123   168.7820820    -61.243212
     124   168.8287807    -61.267063
     125   168.8153306    -61.274247
     126   168.7742493    -61.258967
     127   168.7862104    -61.252122
     128   168.7954353    -61.272576
     129   168.7599273    -61.252159
     130   168.7799781    -61.276160
     131   168.7507896    -61.250193
     132   168.7745632    -61.264434
     133   168.7955077    -61.271252
     134   168.7879698    -61.259236
     135   168.7836983    -61.254222
     136   168.7860354    -61.259424
     137   168.7773362    -61.265201
     138   168.8208236    -61.271631
     139   168.8105118    -61.265098
     140   168.7880264    -61.261132
     141   168.7891759    -61.276434
     142   168.7801117    -61.265567
     143   168.7719830    -61.244661
     144   168.7936604    -61.262604
     145   168.7797623    -61.259233
     146   168.7699119    -61.285045
     147   168.7826579    -61.266300
     148   168.8051284    -61.262806
     149   168.8026307    -61.259299
     150   168.8015677    -61.265591
     151   168.7198794    -61.254481
     152   168.7686960    -61.261203
     153   168.7817420    -61.264866
     154   168.7702231    -61.259127
     155   168.7896953    -61.261658
     156   168.7872081    -61.260842
     157   168.7601524    -61.270492
     158   168.7773999    -61.262097
     159   168.7881319    -61.259751
     160   168.7917133    -61.265365
     161   168.8032448    -61.254016
     162   168.8060865    -61.267842
     163   168.7977591    -61.277305
     164   168.8009022    -61.271465
     165   168.7820905    -61.268277
     166   168.7887581    -61.260345
     167   168.7790947    -61.261543
     168   168.8278613    -61.259728
     169   168.7670276    -61.244355
     170   168.7431068    -61.262262
     171   168.7992146    -61.273226
     172   168.7748645    -61.259838
     173   168.7561038    -61.254785
     174   168.7818529    -61.266138
     175   168.7877470    -61.258622
     176   168.8058203    -61.258711
     177   168.7810030    -61.261718
     178   168.7921150    -61.256367
     179   168.7647796    -61.262039
     180   168.7698088    -61.262755
     181   168.8115299    -61.266242
     182   168.8107550    -61.264603
     183   168.7497556    -61.255748
     184   168.7783649    -61.252514
     185   168.7859801    -61.259744
     186   168.7627712    -61.262491
     187   168.7948268    -61.268355
     188   168.7887027    -61.260940
     189   168.8346874    -61.265430
     190   168.7565924    -61.245380
     191   168.7789860    -61.257718
     192   168.7788589    -61.264454
     193   168.7554037    -61.280476
     194   168.7718585    -61.259432
     195   168.7852942    -61.279129
     196   168.7899715    -61.260854
     197   168.7763830    -61.262787
     198   168.7803398    -61.262858
     199   168.7794059    -61.257820
     200   168.7490447    -61.249964
     201   168.7353585    -61.254837
     202   168.7815549    -61.266086
     203   168.8301095    -61.264095
     204   168.8193148    -61.271864
     205   168.8073154    -61.257906
     206   168.7849698    -61.262733
     207   168.8094348    -61.249343
     208   168.7783571    -61.248064
     209   168.7856591    -61.262963
     210   168.7858810    -61.262455
     211   168.7912782    -61.269407
     212   168.7803478    -61.258034
     213   168.7970019    -61.265372
     214   168.7790976    -61.251911
     215   168.7882747    -61.260585
     216   168.7810136    -61.243544
     217   168.7867331    -61.270291
     218   168.7586035    -61.264678
     219   168.7889225    -61.252226
     220   168.7855393    -61.261224
     221   168.7753185    -61.269268
     222   168.7850836    -61.266056
     223   168.7483761    -61.264479
     224   168.8219832    -61.270761
     225   168.7968306    -61.261489
     226   168.7758306    -61.257809
     227   168.7799334    -61.250529
     228   168.7763719    -61.262374
     229   168.7400588    -61.257174
     230   168.8051549    -61.266356
     231   168.7608866    -61.268347
     232   168.7733635    -61.253656
     233   168.7907742    -61.272565
     234   168.7795426    -61.262009
     235   168.7809309    -61.258668
     236   168.7813968    -61.261857
     237   168.7997596    -61.277944
     238   168.8041590    -61.254756
     239   168.8152200    -61.255080
     240   168.7522427    -61.258565
     241   168.7851411    -61.264226
     242   168.7754990    -61.257918
     243   168.7596589    -61.270499
     244   168.7893307    -61.268432
     245   168.7914800    -61.261260
     246   168.7945335    -61.259926
     247   168.7610405    -61.268597
     248   168.7423862    -61.267763
     249   168.8260272    -61.260477
     250   168.7796223    -61.269590
     251   168.8252158    -61.262991
     252   168.7684684    -61.253120
     253   168.7451232    -61.269619
     254   168.7847909    -61.245444
     255   168.7751702    -61.259984
     256   168.8299602    -61.256725
     257   168.7848107    -61.263884
     258   168.7959393    -61.258565
     259   168.7717217    -61.276118
     260   168.7748346    -61.263253
     261   168.7715473    -61.261922
     262   168.8285668    -61.256915
     263   168.7699357    -61.259592
     264   168.7623713    -61.244218
     265   168.7802552    -61.265364
     266   168.7824202    -61.257761
     267   168.7165311    -61.258368
     268   168.7858849    -61.258792
     269   168.7976777    -61.266809
     270   168.7498367    -61.254223
     271   168.7907185    -61.268406
     272   168.7796904    -61.261808
     273   168.8272525    -61.254853
     274   168.8020327    -61.272217
     275   168.8194004    -61.270935
     276   168.7276139    -61.267451
     277   168.7902234    -61.264370
     278   168.7699440    -61.265106
     279   168.7548010    -61.256760
     280   168.8132235    -61.254892
     281   168.8088078    -61.272170
     282   168.7813408    -61.249798
     283   168.7810341    -61.261181
     284   168.7840083    -61.261479
     285   168.7580734    -61.251195
     286   168.8147564    -61.264310
     287   168.8054759    -61.251362
     288   168.7920712    -61.252634
     289   168.7962548    -61.258791
     290   168.7976820    -61.281748
     291   168.8044871    -61.253310
     292   168.7841650    -61.263768
     293   168.7872528    -61.270576
     294   168.7713902    -61.280636
     295   168.7595900    -61.254910
     296   168.7876547    -61.261171
     297   168.7759054    -61.284441
     298   168.7654826    -61.265847
     299   168.7670988    -61.257769
     300   168.8061897    -61.271533
     301   168.7814905    -61.260251
     302   168.7827065    -61.259360
     303   168.7852156    -61.266262
     304   168.7813126    -61.260544
     305   168.7672512    -61.268996
     306   168.7365532    -61.264378
     307   168.7851562    -61.265369
     308   168.7836215    -61.256147
     309   168.7824137    -61.258111
     310   168.7874835    -61.260537
     311   168.7879846    -61.258243
     312   168.7771703    -61.258868
     313   168.7883894    -61.265338
     314   168.8105443    -61.274452
     315   168.8353714    -61.263005
     316   168.8034957    -61.263127
     317   168.7933408    -61.248382
     318   168.7793220    -61.258082
     319   168.7520072    -61.260474
     320   168.7833484    -61.268438
     321   168.7683369    -61.259978
     322   168.7388433    -61.264504
     323   168.7760569    -61.262099
     324   168.8084036    -61.266697
     325   168.7948673    -61.281133
     326   168.7161607    -61.260886
     327   168.7881611    -61.261266
     328   168.7901370    -61.260600
     329   168.8024022    -61.255999
     330   168.7943288    -61.259873
     331   168.8153829    -61.256356
     332   168.7517706    -61.257390
     333   168.7641458    -61.258623
     334   168.7447874    -61.248466
     335   168.8079008    -61.269573
     336   168.8033439    -61.269382
     337   168.8050249    -61.252394
     338   168.8276327    -61.267651
     339   168.8008697    -61.262839
     340   168.7584461    -61.247032
     341   168.7630860    -61.250918
     342   168.7695411    -61.265050
     343   168.7473042    -61.253715
     344   168.7758551    -61.260056
     345   168.7533465    -61.264703
     346   168.7683561    -61.269442
     347   168.8037616    -61.260589
     348   168.7956469    -61.258124
     349   168.7865452    -61.261091
     350   168.7811828    -61.270936
     351   168.8178996    -61.252991
     352   168.7695036    -61.257677
     353   168.7879156    -61.260314
     354   168.8091442    -61.259011
     355   168.7704550    -61.262621
     356   168.7675790    -61.277648
     357   168.7809836    -61.266807
     358   168.7737550    -61.261583
     359   168.7925903    -61.260627
     360   168.7944832    -61.276723
     361   168.7827635    -61.267128
     362   168.7768890    -61.266107
     363   168.7911186    -61.279165
     364   168.7486007    -61.253763
     365   168.8195991    -61.273169
     366   168.7778584    -61.259886
     367   168.7826347    -61.243874
     368   168.7850257    -61.264829
     369   168.7775425    -61.266620
     370   168.7711806    -61.256510
     371   168.7758692    -61.242972
     372   168.7395247    -61.257427
     373   168.7892647    -61.261289
     374   168.7352769    -61.262079
     375   168.8345513    -61.266677
     376   168.7947993    -61.271374
     377   168.7929868    -61.253968
     378   168.7954072    -61.256640
     379   168.7800778    -61.256985
     380   168.7802392    -61.268435
     381   168.8064489    -61.257412
     382   168.7478608    -61.248296
     383   168.7711516    -61.266647
     384   168.7365297    -61.257649
     385   168.7851178    -61.263726
     386   168.7744617    -61.256858
     387   168.7951274    -61.282255
     388   168.7800843    -61.261569
     389   168.7521893    -61.258841
     390   168.7844023    -61.279132
     391   168.7987138    -61.263120
     392   168.7537634    -61.262673
     393   168.8000739    -61.270657
     394   168.7657056    -61.263025
     395   168.7795356    -61.280980
     396   168.7459833    -61.260934
     397   168.7646313    -61.274750
     398   168.7832436    -61.259628
     399   168.7607348    -61.277173
     400   168.7863634    -61.254478
     401   168.8344529    -61.266708
     402   168.7978401    -61.260308
     403   168.7771492    -61.256795
     404   168.7803734    -61.279032
     405   168.7966744    -61.260561
     406   168.7626912    -61.255112
     407   168.7770824    -61.265796
     408   168.7756830    -61.259884
     409   168.8240863    -61.265010
     410   168.7678948    -61.267069
     411   168.7822534    -61.260776
     412   168.7861027    -61.258364
     413   168.7307375    -61.252834
     414   168.7125173    -61.257598
     415   168.7798886    -61.288533
     416   168.7930304    -61.270358
     417   168.7863040    -61.260061
     418   168.7878158    -61.266436
     419   168.7762067    -61.265951
     420   168.8079026    -61.270196
     421   168.7751678    -61.252259
     422   168.8267491    -61.260017
     423   168.7525180    -61.250241
     424   168.7450510    -61.268585
     425   168.7857085    -61.263028
     426   168.7954856    -61.257043
     427   168.7659741    -61.238759
     428   168.8033278    -61.253642
     429   168.8229134    -61.269471
     430   168.7161880    -61.260699
     431   168.7771759    -61.250133
     432   168.7905434    -61.278396
     433   168.7773403    -61.262649
     434   168.7640890    -61.286241
     435   168.8371256    -61.260079
     436   168.7783317    -61.256492
     437   168.8132848    -61.263273
     438   168.8261071    -61.255593
     439   168.7847914    -61.254371
     440   168.7211259    -61.262493
     441   168.7988957    -61.245819
     442   168.7366640    -61.250322
     443   168.7609758    -61.259579
     444   168.7873244    -61.278941
     445   168.7842685    -61.264895
     446   168.8132638    -61.272934
     447   168.7590483    -61.261960
     448   168.7460155    -61.261344
     449   168.7542454    -61.253819
     450   168.7984506    -61.257364
     451   168.7977849    -61.251941
     452   168.8187520    -61.260459
     453   168.7842592    -61.261750
     454   168.8091186    -61.252502
     455   168.8051890    -61.254453
     456   168.7924182    -61.265278
     457   168.7731120    -61.281801
     458   168.7787202    -61.258329
     459   168.8277079    -61.267631
     460   168.7298409    -61.261318
     461   168.7809402    -61.262268
     462   168.7825460    -61.273532
     463   168.7336421    -61.257514
     464   168.7778602    -61.270654
     465   168.8087410    -61.276580
     466   168.8039229    -61.257463
     467   168.7986289    -61.240670
     468   168.7756854    -61.264182
     469   168.7251361    -61.262609
