#ID                             RA                DEC
UVUDF_134                53.1689186 -27.82664967
UVUDF_136                53.1677209 -27.82654553
UVUDF_140                53.1695946 -27.82645104
UVUDF_159                53.1694315 -27.82607719
UVUDF_167                53.1663139 -27.82579358
UVUDF_168                53.1703122 -27.82593496
UVUDF_177                53.1698357 -27.82566940
UVUDF_179                53.1685806 -27.82562339
UVUDF_182                53.1662456 -27.82562315
UVUDF_185                53.1676918 -27.82542102
UVUDF_186                53.1692402 -27.82549331
UVUDF_195                53.1706572 -27.82518473
UVUDF_198                53.1666897 -27.82521525
UVUDF_205                53.1695395 -27.82514062
UVUDF_215                53.1705451 -27.82466505
UVUDF_216                53.1638360 -27.82476948
UVUDF_220                53.1710360 -27.82471973
UVUDF_222                53.1711300 -27.82468596
UVUDF_227                53.1685629 -27.82459763
UVUDF_230                53.1634748 -27.82436630
UVUDF_241                53.1673979 -27.82427796
UVUDF_243                53.1664028 -27.82435068
UVUDF_245                53.1671323 -27.82419095
UVUDF_246                53.1686513 -27.82426492
UVUDF_249                53.1628418 -27.82415578
UVUDF_252                53.1635644 -27.82405868
UVUDF_254                53.1709909 -27.82407393
UVUDF_264                53.1676996 -27.82392156
UVUDF_265                53.1674129 -27.82393256
UVUDF_267                53.1674125 -27.82380897
UVUDF_268                53.1658578 -27.82385865
UVUDF_270                53.1689745 -27.82378320
UVUDF_281                53.1653709 -27.82369663
UVUDF_282                53.1673772 -27.82368059
UVUDF_285                53.1640017 -27.82359159
UVUDF_287                53.1715217 -27.82353947
UVUDF_288                53.1717706 -27.82360143
UVUDF_292                53.1705225 -27.82353906
UVUDF_293                53.1670390 -27.82350250
UVUDF_296                53.1658315 -27.82344886
UVUDF_298                53.1686145 -27.82343331
UVUDF_301                53.1691806 -27.82335358
UVUDF_302                53.1658929 -27.82343969
UVUDF_303                53.1704773 -27.82337139
UVUDF_305                53.1654956 -27.82320333
UVUDF_309                53.1656517 -27.82334218
UVUDF_310                53.1687985 -27.82333783
UVUDF_312                53.1688498 -27.82311574
UVUDF_313                53.1661463 -27.82326758
UVUDF_318                53.1654278 -27.82314757
UVUDF_321                53.1700330 -27.82308745
UVUDF_325                53.1648696 -27.82316138
UVUDF_326                53.1726381 -27.82314096
UVUDF_332                53.1712638 -27.82281521
UVUDF_333                53.1638434 -27.82301203
UVUDF_334                53.1709243 -27.82283882
UVUDF_335                53.1649376 -27.82285592
UVUDF_338                53.1729843 -27.82272286
UVUDF_342                53.1684334 -27.82269300
UVUDF_345                53.1672612 -27.82282021
UVUDF_347                53.1617330 -27.82274579
UVUDF_348                53.1609132 -27.82275488
UVUDF_354                53.1714848 -27.82266209
UVUDF_355                53.1721732 -27.82267299
UVUDF_357                53.1688254 -27.82265882
UVUDF_358                53.1682921 -27.82262404
UVUDF_365                53.1621549 -27.82255088
UVUDF_366                53.1639191 -27.82255712
UVUDF_369                53.1712877 -27.82241639
UVUDF_376                53.1597296 -27.82239470
UVUDF_381                53.1618846 -27.82240230
UVUDF_382                53.1733898 -27.82238231
UVUDF_383                53.1721944 -27.82234844
UVUDF_385                53.1629418 -27.82230231
UVUDF_388                53.1595486 -27.82228153
UVUDF_390                53.1710574 -27.82218508
UVUDF_398                53.1637445 -27.82214907
UVUDF_400                53.1650921 -27.82213957
UVUDF_402                53.1677874 -27.82211086
UVUDF_406                53.1691297 -27.82199163
UVUDF_407                53.1602869 -27.82204246
UVUDF_409                53.1603218 -27.82200107
UVUDF_411                53.1743602 -27.82184386
UVUDF_414                53.1692045 -27.82195157
UVUDF_416                53.1736368 -27.82172214
UVUDF_424                53.1739052 -27.82173166
UVUDF_425                53.1583438 -27.82172768
UVUDF_429                53.1662558 -27.82168702
UVUDF_430                53.1601949 -27.82164339
UVUDF_435                53.1589280 -27.82134734
UVUDF_436                53.1603857 -27.82132826
UVUDF_438                53.1631583 -27.82148931
UVUDF_440                53.1621168 -27.82148050
UVUDF_442                53.1703428 -27.82141947
UVUDF_443                53.1603646 -27.82138900
UVUDF_444                53.1620292 -27.82143196
UVUDF_451                53.1622596 -27.82129406
UVUDF_453                53.1666765 -27.82125636
UVUDF_455                53.1603243 -27.82124822
UVUDF_456                53.1698339 -27.82124228
UVUDF_458                53.1598986 -27.82122805
UVUDF_459                53.1740920 -27.82107365
