#ID        RA          DEC
425     169.989325    6.711506
525     169.985345    6.704874
806     169.975323    6.687585
1107    170.005420    6.719148
1186    169.975827    6.681717
1477    170.005097    6.712200
1480    169.978221    6.679270
1534    170.011938    6.719559
2184    169.995303    6.689043
2293    170.014069    6.710465
2313    170.013705    6.709489
2317    170.010432    6.705604
2475    170.005746    6.697049
2483    169.993152    6.681748
2620    170.019749    6.711637
3566    170.021393    6.697007
3865    170.008020    6.674353
4032    170.025427    6.692761
4681    170.015326    6.666695
4775    170.006331    6.658207
4999    170.033959    6.695848
5026    170.006894    6.662382
5037    170.021589    6.682579
327     169.971136    6.691334
704     169.995528    6.714174
783     169.982889    6.697228
887     169.980189    6.691880
1216    169.979912    6.686164
1379    169.996413    6.703351
3210    170.006017    6.684243
3250    170.005790    6.683443
3308    170.018568    6.698084
3327    170.024783    6.705236
3525    170.016031    6.691214
3551    170.016026    6.690608
5069    170.020832    6.682482
