id_ic348 ra_deg dec_deg
0 56.14255 32.162969
1 56.14735 32.167939
9 56.102767 32.170844
11 56.133167 32.195511
12 56.133588 32.195539
17 56.128417 32.1655
34 56.099946 32.183342
36 56.123842 32.177733
37 56.090063 32.177114
41 56.101208 32.172061
53 56.167196 32.192872
54 56.106596 32.191811
58 56.10655 32.208339
66 56.142796 32.180464
67 56.182433 32.175156
76 56.136538 32.154381
77 56.138787 32.161006
78 56.163375 32.162425
80 56.074633 32.205653
82 56.091308 32.203219
83 56.145279 32.164842
88 56.093013 32.200211
93 56.155825 32.206739
97 56.125013 32.155853
98 56.089829 32.171494
100 56.095729 32.199239
106 56.088725 32.198989
108 56.173929 32.200669
113 56.10545 32.170181
117 56.159958 32.216617
118 56.172117 32.173694
123 56.145125 32.188333
125 56.15745 32.205058
127 56.077421 32.214778
134 56.171579 32.169494
135 56.130629 32.179692
137 56.118412 32.189583
138 56.186879 32.184933
145 56.090679 32.208722
152 56.157671 32.168731
154 56.158383 32.193639
155 56.11355 32.177022
163 56.088637 32.210367
165 56.169987 32.218581
166 56.179396 32.170914
169 56.172713 32.219389
171 56.130937 32.191533
181 56.149788 32.156747
193 56.16435 32.168936
195 56.132721 32.212269
200 56.102421 32.167481
208 56.130583 32.158111
226 56.158979 32.172664
229 56.182167 32.180028
241 56.156487 32.198836
244 56.124929 32.160967
246 56.126158 32.193131
248 56.173229 32.177631
252 56.14975 32.188197
255 56.107488 32.183008
256 56.139225 32.175431
257 56.12655 32.162381
258 56.112021 32.157281
269 56.112154 32.214072
284 56.176267 32.207861
285 56.151038 32.217931
286 56.142817 32.211308
287 56.138383 32.215958
289 56.145425 32.250011
323 56.113521 32.239172
354 56.129992 32.246439
362 56.078179 32.19225
403 56.137733 32.24995
416 56.153688 32.243442
455 56.106267 32.191997
478 56.11847916666666 32.18624722222222
479 56.14651666666666 32.18479166666666
481 56.1815375 32.203300000000006
484 56.142199999999995 32.20808055555556
489 56.103449999999995 32.18628333333333
490 56.13909583333333 32.245311111111114
491 56.12976666666666 32.23399722222222
492 56.164049999999996 32.20706944444445
493 56.15909166666666 32.189588888888885
494 56.095816666666664 32.17780555555555
495 56.131366666666665 32.176808333333334
496 56.10464583333333 32.16726111111111
497 56.119612499999995 32.16127777777778
509 56.146874999999994 32.173383333333334
510 56.11032916666666 32.156327777777776
514 56.11747916666666 32.17496111111111
517 56.12998749999999 32.18427777777777
518 56.10941666666666 32.175225
519 56.14215416666666 32.189413888888886
520 56.148108333333326 32.19320555555555
521 56.12145416666666 32.18404444444444
528 56.1082 32.19203333333333
529 56.163866666666664 32.20904166666667
530 56.156279166666664 32.21729722222222
532 56.10578749999999 32.221125
533 56.17507916666666 32.22477222222222
534 56.157441666666664 32.226955555555556
535 56.10555833333333 32.16365555555556
536 56.14799999999999 32.195816666666666
537 56.13845416666666 32.19511388888888
573 56.173024999999996 32.22965277777778
582 56.1189 32.23495
583 56.126949999999994 32.23743611111111
593 56.168724999999995 32.19150833333333
596 56.1394125 32.18810277777777
600 56.10256666666666 32.16538333333333
