#ID                             RA                DEC
HST3D_8189               189.1977150  62.18339400
HST3D_8265               189.2116400  62.18376200
HST3D_8425               189.1775140  62.18454900
HST3D_8426               189.2167770  62.18463600
HST3D_8451               189.1796020  62.18472900
HST3D_8527               189.1841960  62.18506000
HST3D_8564               189.1880330  62.18521500
HST3D_8628               189.2118670  62.18564100
HST3D_8677               189.2041780  62.18587100
HST3D_8810               189.1914540  62.18643500
HST3D_8822               189.2108510  62.18662800
HST3D_8881               189.1757180  62.18671700
HST3D_8887               189.1866000  62.18699900
HST3D_8932               189.1786220  62.18722600
HST3D_8970               189.1882550  62.18739300
HST3D_9171               189.1761720  62.18830800
HST3D_9179               189.1957920  62.18836400
HST3D_9243               189.2092670  62.18865200
HST3D_9313               189.1824860  62.18889300
HST3D_9424               189.2267270  62.18969200
HST3D_9428               189.1814070  62.18927600
HST3D_9495               189.2020510  62.19003900
HST3D_9507               189.1748320  62.19014000
HST3D_9519               189.2116510  62.19021500
HST3D_9575               189.2037080  62.19050300
HST3D_9580               189.1730260  62.19053200
HST3D_9614               189.2118800  62.19072900
HST3D_9638               189.2366740  62.19088400
HST3D_9959               189.2385930  62.19243400
HST3D_10028              189.2023270  62.19263400
HST3D_10155              189.2192830  62.19326100
HST3D_10253              189.2196360  62.19370500
HST3D_10259              189.2492750  62.19378100
HST3D_10289              189.2194820  62.19389200
HST3D_10310              189.1608040  62.19394700
HST3D_10354              189.2398800  62.19417000
HST3D_10506              189.2373690  62.19449700
HST3D_10601              189.1861040  62.19534400
HST3D_10847              189.1654930  62.19648700
HST3D_10878              189.2101730  62.19666100
HST3D_10958              189.2548720  62.19694000
HST3D_10959              189.2146520  62.19693300
HST3D_10992              189.2230910  62.19721400
HST3D_11002              189.2169230  62.19715200
HST3D_11024              189.2088860  62.19735600
HST3D_11051              189.1717410  62.19722000
HST3D_11056              189.2375100  62.19749500
HST3D_11086              189.2318100  62.19732700
HST3D_11097              189.1555930  62.19766200
HST3D_11167              189.2552750  62.19785200
HST3D_11186              189.2039800  62.19802600
HST3D_11204              189.1861450  62.19732800
HST3D_11287              189.1503280  62.19837600
HST3D_11319              189.2605430  62.19860800
HST3D_11427              189.2333570  62.19928600
HST3D_11485              189.1912550  62.19952400
HST3D_11546              189.2404950  62.19972200
HST3D_11568              189.2218620  62.19983800
HST3D_11591              189.1881380  62.19990100
HST3D_11606              189.1977810  62.19998100
HST3D_11642              189.1999990  62.20020700
HST3D_11672              189.1671930  62.20034500
HST3D_11857              189.1564670  62.20116100
HST3D_11972              189.2317110  62.20176300
HST3D_12087              189.2319750  62.20234200
HST3D_12269              189.2333610  62.20342800
HST3D_12285              189.2367780  62.20353300
HST3D_12301              189.1733940  62.20356100
HST3D_12390              189.2288730  62.20401200
HST3D_12424              189.2153730  62.20420000
HST3D_12430              189.2258360  62.20422400
HST3D_12497              189.1639580  62.20449600
HST3D_12592              189.2029870  62.20465400
HST3D_12598              189.1508470  62.20493300
HST3D_12675              189.2474930  62.20536700
HST3D_12734              189.1538650  62.20560400
HST3D_12938              189.2720590  62.20664500
HST3D_12958              189.1328960  62.20644400
HST3D_12996              189.2462440  62.20658200
HST3D_13079              189.2580750  62.20724100
HST3D_13081              189.2096970  62.20726000
HST3D_13136              189.1493290  62.20748500
HST3D_13184              189.2542840  62.20770700
HST3D_13187              189.2367510  62.20773700
HST3D_13194              189.2654540  62.20771900
HST3D_13244              189.1674050  62.20799800
HST3D_13252              189.2613710  62.20802600
HST3D_13257              189.2456000  62.20808900
HST3D_13329              189.1944650  62.20835900
HST3D_13472              189.1632940  62.20913900
HST3D_13492              189.2664380  62.20916500
HST3D_13572              189.2382070  62.20955300
HST3D_13645              189.1563510  62.21001000
HST3D_13650              189.2726030  62.21004300
HST3D_13779              189.2728070  62.21030400
HST3D_13794              189.1214940  62.21065500
HST3D_13842              189.1731100  62.21080600
HST3D_13941              189.1698940  62.21131000
HST3D_13946              189.1393120  62.21132000
HST3D_13955              189.2640980  62.21137100
HST3D_14064              189.2263160  62.21191700
HST3D_14082              189.1827030  62.21154400
HST3D_14085              189.1973570  62.21202200
HST3D_14144              189.2440320  62.21226000
HST3D_14172              189.2036050  62.21235400
HST3D_14205              189.1942290  62.21251500
HST3D_14267              189.2014790  62.21276800
HST3D_14293              189.1198000  62.21261900
HST3D_14477              189.2387080  62.21372200
HST3D_14607              189.2754640  62.21416300
