
       Target
                ecliptic
RA      Dec     latitude
128.702   1.989 -16.164

Checked interval [2019-04-01, 2019-09-01]
|           Window [days]                 |    Normal V3 PA [deg]    |
   Start           End         Duration         Start         End          RA             Dec
 2019-04-01      2019-05-07        36.90      95.92178     106.73429     128.70200       1.98919 


                V3PA          NIRCam           NIRSpec         NIRISS           MIRI          FGS
   Date      min    max      min    max       min    max     min    max      min    max      min    max
2019-04-01    90.11 101.73    90.09 101.71   227.60 239.22    89.54 101.16    95.13 106.75    88.86 100.48
2019-04-02    90.52 102.03    90.49 102.01   228.00 239.52    89.95 101.46    95.53 107.05    89.26 100.78
2019-04-03    90.91 102.33    90.88 102.31   228.40 239.82    90.34 101.76    95.93 107.35    89.66 101.08
2019-04-04    91.30 102.63    91.27 102.60   228.79 240.12    90.73 102.06    96.31 107.64    90.05 101.38
2019-04-05    91.68 102.92    91.65 102.89   229.16 240.41    91.11 102.35    96.69 107.94    90.43 101.67
2019-04-06    92.05 103.21    92.02 103.18   229.54 240.70    91.48 102.64    97.06 108.22    90.80 101.96
2019-04-07    92.41 103.49    92.39 103.47   229.90 240.98    91.84 102.92    97.43 108.51    91.16 102.24
2019-04-08    92.77 103.78    92.75 103.75   230.26 241.27    92.20 103.21    97.79 108.79    91.52 102.53
2019-04-09    93.12 104.06    93.10 104.03   230.61 241.55    92.55 103.49    98.14 109.07    91.87 102.81
2019-04-10    93.47 104.34    93.44 104.31   230.96 241.82    92.90 103.77    98.49 109.35    92.22 103.09
2019-04-11    93.81 104.61    93.78 104.59   231.30 242.10    93.24 104.04    98.83 109.63    92.56 103.36
2019-04-12    94.15 104.89    94.12 104.86   231.63 242.38    93.58 104.32    99.16 109.90    92.89 103.64
2019-04-13    94.47 105.16    94.45 105.13   231.96 242.65    93.90 104.59    99.49 110.18    93.22 103.91
2019-04-14    94.80 105.43    94.77 105.41   232.29 242.92    94.23 104.86    99.81 110.45    93.55 104.18
2019-04-15    95.12 105.70    95.09 105.68   232.61 243.19    94.55 105.13   100.13 110.72    93.87 104.45
2019-04-16    95.43 105.97    95.41 105.94   232.92 243.46    94.86 105.40   100.45 110.99    94.18 104.72
2019-04-17    95.75 106.24    95.72 106.21   233.23 243.73    95.18 105.67   100.76 111.25    94.49 104.99
2019-04-18    96.05 106.51    96.03 106.48   233.54 243.99    95.48 105.94   101.07 111.52    94.80 105.26
2019-04-19    96.36 106.77    96.33 106.75   233.84 244.26    95.79 106.20   101.37 111.79    95.10 105.52
2019-04-20    96.66 107.04    96.63 107.01   234.14 244.53    96.09 106.47   101.67 112.05    95.40 105.79
2019-04-21    96.95 107.30    96.92 107.28   234.44 244.79    96.38 106.73   101.97 112.32    95.70 106.05
2019-04-22    97.24 107.57    97.22 107.54   234.73 245.06    96.67 107.00   102.26 112.58    95.99 106.32
2019-04-23    97.53 107.83    97.51 107.81   235.02 245.32    96.96 107.26   102.55 112.85    96.28 106.58
2019-04-24    97.82 108.10    97.80 108.07   235.31 245.59    97.25 107.53   102.84 113.11    96.57 106.85
2019-04-25    98.11 108.36    98.08 108.34   235.59 245.85    97.54 107.79   103.12 113.38    96.86 107.11
2019-04-26    98.39 108.63    98.36 108.60   235.88 246.12    97.82 108.06   103.40 113.64    97.14 107.38
2019-04-27    98.67 108.90    98.64 108.87   236.16 246.38    98.10 108.33   103.68 113.91    97.42 107.64
2019-04-28    98.95 109.16    98.92 109.14   236.43 246.65    98.38 108.59   103.96 114.18    97.69 107.91
2019-04-29    99.22 109.43    99.19 109.40   236.71 246.92    98.65 108.86   104.24 114.44    97.97 108.18
2019-04-30    99.49 109.70    99.47 109.67   236.98 247.18    98.92 109.13   104.51 114.71    98.24 108.45
2019-05-01    99.77 109.97    99.74 109.94   237.25 247.45    99.20 109.40   104.78 114.98    98.52 108.72
2019-05-02   100.04 110.24   100.01 110.21   237.52 247.72    99.47 109.67   105.05 115.25    98.79 108.99
2019-05-03   100.31 110.51   100.28 110.48   237.79 248.00    99.74 109.94   105.32 115.52    99.05 109.26
2019-05-04   100.57 110.78   100.55 110.75   238.06 248.27   100.00 110.21   105.59 115.80    99.32 109.53
2019-05-05   101.31 110.58   101.29 110.55   238.80 248.07   100.74 110.01   106.33 115.60   100.06 109.33
2019-05-06   102.17 110.27   102.14 110.24   239.66 247.76   101.60 109.70   107.18 115.28   100.92 109.02
2019-05-07   103.02 109.96   102.99 109.93   240.51 247.45   102.45 109.39   108.04 114.97   101.77 108.71
